award,year,file,url,bytes,work_id,title,page,fetched
Golden Pin,2025,GoldenPin_2025_13_1847786d_image_0d0470.jpeg,https://storage.googleapis.com/goldenpin/award_work/list_image/2478/image_0d0470.jpeg,3465217,2478,Astre Dental,https://goldenpin.org.tw/goldenpin/zh-TW/winners/#2025/comm/brand-identity,2026-09-02T22:50:20
Golden Pin,2025,GoldenPin_2025_14_a0b79f4f_image_e82d58.jpeg,https://storage.googleapis.com/goldenpin/award_work/list_image/2479/image_e82d58.jpeg,4256251,2479,Molecure Branding,https://goldenpin.org.tw/goldenpin/zh-TW/winners/#2025/comm/brand-identity,2026-09-02T22:50:29
Golden Pin,2025,GoldenPin_2025_15_60f20e39_image_9ba205.jpeg,https://storage.googleapis.com/goldenpin/award_work/list_image/2480/image_9ba205.jpeg,4768882,2480,Future Gelato_Visual Packaging,https://goldenpin.org.tw/goldenpin/zh-TW/winners/#2025/comm/brand-identity,2026-09-02T22:50:37
Golden Pin,2025,GoldenPin_2025_16_32efd78c_image_72c7d5.jpeg,https://storage.googleapis.com/goldenpin/award_work/list_image/2481/image_72c7d5.jpeg,1916353,2481,Taiwanese Roadside Banquet,https://goldenpin.org.tw/goldenpin/zh-TW/winners/#2025/comm/brand-identity,2026-09-02T22:50:41
Golden Pin,2025,GoldenPin_2025_17_d8ecb719_image_bbfcfc.jpeg,https://storage.googleapis.com/goldenpin/award_work/list_image/2482/image_bbfcfc.jpeg,5000787,2482,MUSEUM STORE | Yingge Ceramics Museum,https://goldenpin.org.tw/goldenpin/zh-TW/winners/#2025/comm/brand-identity,2026-09-02T22:50:48
Golden Pin,2025,GoldenPin_2025_18_7c4c557c_image_dcac9d.jpeg,https://storage.googleapis.com/goldenpin/award_work/list_image/2483/image_dcac9d.jpeg,1568241,2483,KYOKU HAKU Visual Identity and Fabric Pattern Integration,https://goldenpin.org.tw/goldenpin/zh-TW/winners/#2025/comm/brand-identity,2026-09-02T22:50:53
Golden Pin,2022,GoldenPin_2022_01_e16cc567_6b3021ee61bfdef34133913145ee1b91.jpg,https://storage.googleapis.com/goldenpin/award_work/list_image/415/6b3021ee61bfdef34133913145ee1b91.jpg,1228555,415,HELLO I AM Z WAVE,https://goldenpin.org.tw/goldenpin/zh-TW/winners/#2022/comm/brand-identity,2026-09-02T22:52:12
Golden Pin,2022,GoldenPin_2022_02_42aecbd7_list_image.jpeg,https://storage.googleapis.com/goldenpin/award_work/list_image/414/list_image.jpeg,2138162,414,Enjoy the Night,https://goldenpin.org.tw/goldenpin/zh-TW/winners/#2022/comm/brand-identity,2026-09-02T22:52:17
Golden Pin,2022,GoldenPin_2022_03_d8614abb_259440e193294a2fb5e21d5702daaf51.jpg,https://storage.googleapis.com/goldenpin/award_work/list_image/413/259440e193294a2fb5e21d5702daaf51.jpg,1541039,413,Pinghu Economic Development Zone Kindergarten,https://goldenpin.org.tw/goldenpin/zh-TW/winners/#2022/comm/brand-identity,2026-09-02T22:52:21
Golden Pin,2022,GoldenPin_2022_04_91587fc5_2e05bf1b9680006d9c135bf28f803993.jpg,https://storage.googleapis.com/goldenpin/award_work/list_image/412/2e05bf1b9680006d9c135bf28f803993.jpg,3713078,412,Technical City - visual identity system,https://goldenpin.org.tw/goldenpin/zh-TW/winners/#2022/comm/brand-identity,2026-09-02T22:52:27
Golden Pin,2022,GoldenPin_2022_05_23940807_1fa8176e8d8d02f5b5478836adec5930.jpg,https://storage.googleapis.com/goldenpin/award_work/list_image/411/1fa8176e8d8d02f5b5478836adec5930.jpg,4268588,411,RE:RISO Naughty Roll Featured Works Exhibiton,https://goldenpin.org.tw/goldenpin/zh-TW/winners/#2022/comm/brand-identity,2026-09-02T22:52:36
Golden Pin,2022,GoldenPin_2022_06_90cd8428_22b3fd827700dcd785ef600a31b7ceda.jpg,https://storage.googleapis.com/goldenpin/award_work/list_image/410/22b3fd827700dcd785ef600a31b7ceda.jpg,2674794,410,MACAO DESIGN WEEK 2021,https://goldenpin.org.tw/goldenpin/zh-TW/winners/#2022/comm/brand-identity,2026-09-02T22:52:42
Golden Pin,2022,GoldenPin_2022_07_cc7c220c_0e87fdbb66f4c8b9ac16ed9bae7ddfb1.jpg,https://storage.googleapis.com/goldenpin/award_work/list_image/409/0e87fdbb66f4c8b9ac16ed9bae7ddfb1.jpg,320704,409,VVG VILLAGE BAZAAR BRAND IDENTITY,https://goldenpin.org.tw/goldenpin/zh-TW/winners/#2022/comm/brand-identity,2026-09-02T22:52:45
Golden Pin,2022,GoldenPin_2022_08_877b92e9_0095eacf02a5ed91f084b57f69334d73.jpg,https://storage.googleapis.com/goldenpin/award_work/list_image/407/0095eacf02a5ed91f084b57f69334d73.jpg,4572146,407,Taitung Mambo Project,https://goldenpin.org.tw/goldenpin/zh-TW/winners/#2022/comm/brand-identity,2026-09-02T22:52:53
Golden Pin,2022,GoldenPin_2022_09_75de342c_cbbf06f1e16001912e003a8ba3ed43bb.jpg,https://storage.googleapis.com/goldenpin/award_work/list_image/406/cbbf06f1e16001912e003a8ba3ed43bb.jpg,359640,406,AOKKA VISUAL IDENTITY AND PACKAGING,https://goldenpin.org.tw/goldenpin/zh-TW/winners/#2022/comm/brand-identity,2026-09-02T22:52:57
Golden Pin,2022,GoldenPin_2022_10_c7529d59_01c9b51e7f0d6aa45e5fa7639962981e.jpg,https://storage.googleapis.com/goldenpin/award_work/list_image/405/01c9b51e7f0d6aa45e5fa7639962981e.jpg,884321,405,BREADROCKS,https://goldenpin.org.tw/goldenpin/zh-TW/winners/#2022/comm/brand-identity,2026-09-02T22:53:01
