award,year,file,url,bytes,category,sub_category,title,creator,page,fetched
Indigo,2023,Indigo_2023_02_30fccc73_midsize-1a69d3d097f6094c75a63d8151e4d33e.jpg,https://indigoawards.s3.amazonaws.com/store/cover/11874/image/midsize-1a69d3d097f6094c75a63d8151e4d33e.jpg,56728,Branding,Real Estate,"Campus, Reading International",Socrates Communications,https://www.indigoaward.com/winners/competition/2023,2026-09-02T23:30:48
Indigo,2023,Indigo_2023_03_aebb7d68_midsize-6a8a35eb87380156d66c7b1659455481.png,https://indigoawards.s3.amazonaws.com/store/cover/11204/image/midsize-6a8a35eb87380156d66c7b1659455481.png,16497,Branding,Real Estate,The Jefferson,Think Joule,https://www.indigoaward.com/winners/competition/2023,2026-09-02T23:30:49
Indigo,2023,Indigo_2023_04_66d68f3e_iZgUTQQEXCNZq68RZjLLPQEy,https://d3crlhnriidvt.cloudfront.net/iZgUTQQEXCNZq68RZjLLPQEy,215502,Branding,Real Estate,Love how you live,Siegel+Gale,https://www.indigoaward.com/winners/competition/2023,2026-09-02T23:30:51
Indigo,2023,Indigo_2023_05_90613476_midsize-7051ca6ed0029758ee9b61e4fe0b919c.jpg,https://indigoawards.s3.amazonaws.com/store/cover/11205/image/midsize-7051ca6ed0029758ee9b61e4fe0b919c.jpg,104965,Branding,Real Estate,Mercato Grove,Think Joule,https://www.indigoaward.com/winners/competition/2023,2026-09-02T23:30:53
Indigo,2023,Indigo_2023_06_12a6ad0d_midsize-85e1db55f4f902db49a866a4b1fe0404.jpg,https://indigoawards.s3.amazonaws.com/store/cover/11206/image/midsize-85e1db55f4f902db49a866a4b1fe0404.jpg,66752,Branding,Real Estate,Gate510 Wayfinding,Think Joule,https://www.indigoaward.com/winners/competition/2023,2026-09-02T23:30:55
Indigo,2023,Indigo_2023_07_c5e4929e_9aPKvPJGQELH2AwKbHU6ZwpA,https://d3crlhnriidvt.cloudfront.net/9aPKvPJGQELH2AwKbHU6ZwpA,616383,Branding,Real Estate,Aire,Kilograph,https://www.indigoaward.com/winners/competition/2023,2026-09-02T23:30:57
Indigo,2023,Indigo_2023_08_cf2957d5_JRb5ksM414Cz9nbTP13h36u8,https://d3crlhnriidvt.cloudfront.net/JRb5ksM414Cz9nbTP13h36u8,2314152,Branding,Real Estate,Hana Apartments,Think Joule,https://www.indigoaward.com/winners/competition/2023,2026-09-02T23:31:00
Indigo,2023,Indigo_2023_09_c92558db_midsize-c2fd09cdfba91e8b64eb207c625e2094.jpg,https://indigoawards.s3.amazonaws.com/store/cover/11823/image/midsize-c2fd09cdfba91e8b64eb207c625e2094.jpg,62457,Branding,Real Estate,Pathway Devens,,https://www.indigoaward.com/winners/competition/2023,2026-09-02T23:31:02
Indigo,2023,Indigo_2023_10_d606bd75_midsize-b6ca80d38752d802b7c2c2a8b39ee67f.jpg,https://indigoawards.s3.amazonaws.com/store/cover/11202/image/midsize-b6ca80d38752d802b7c2c2a8b39ee67f.jpg,64744,Branding,Real Estate,Edlen & Co.,Think Joule,https://www.indigoaward.com/winners/competition/2023,2026-09-02T23:31:03
Indigo,2023,Indigo_2023_11_041bf802_qmewtD8HAtH1bJQeNxvRHkrx,https://d3crlhnriidvt.cloudfront.net/qmewtD8HAtH1bJQeNxvRHkrx,4497683,Branding,Real Estate,SWL,Récréation,https://www.indigoaward.com/winners/competition/2023,2026-09-02T23:31:07
Indigo,2023,Indigo_2023_12_33ba65f1_uYhaBN8Gcuh5f3x2eJmTEifJ,https://d3crlhnriidvt.cloudfront.net/uYhaBN8Gcuh5f3x2eJmTEifJ,2743502,Branding,Real Estate,Terwilliger Plaza Design Center,Think Joule,https://www.indigoaward.com/winners/competition/2023,2026-09-02T23:31:10
Indigo,2023,Indigo_2023_13_eccad1fc_midsize-469492e902ce0839ac620a98cca831b7.png,https://indigoawards.s3.amazonaws.com/store/cover/11862/image/midsize-469492e902ce0839ac620a98cca831b7.png,270673,Branding,Technology,Future Reimagined for SLK Software - Complete Brand Refresh,Zensciences Business Solutions LLP,https://www.indigoaward.com/winners/competition/2023,2026-09-02T23:31:13
Indigo,2023,Indigo_2023_14_f631e299_original-e5532d2bbcbf50f830f2612979245a9f.gif,https://indigoawards.s3.amazonaws.com/store/cover/11740/image/original-e5532d2bbcbf50f830f2612979245a9f.gif,4165437,Branding,Technology,VOREL ,Creativeans,https://www.indigoaward.com/winners/competition/2023,2026-09-02T23:31:18
Indigo,2023,Indigo_2023_15_a6bcd4d9_KtBAEpvP4PPp341Mu4z5Dms1,https://d3crlhnriidvt.cloudfront.net/KtBAEpvP4PPp341Mu4z5Dms1,255060,Branding,Technology,Brightscout Rebrand,Brightscout,https://www.indigoaward.com/winners/competition/2023,2026-09-02T23:31:20
Indigo,2023,Indigo_2023_16_841af248_4grtCYAcambki3ct1kNfDN4h,https://d3crlhnriidvt.cloudfront.net/4grtCYAcambki3ct1kNfDN4h,1526374,Branding,Technology,Be in control of your information flow,Ojity,https://www.indigoaward.com/winners/competition/2023,2026-09-02T23:31:22
