src,out,src_sha1,orig_w,orig_h,content_w,content_h,scale,canvas,content_max,grayscale,binarize,bg,kind
图包/国际奖项/Indigo\2023\Indigo_2023_06_12a6ad0d_midsize-85e1db55f4f902db49a866a4b1fe0404.jpg,标准化输出/logo/Indigo\2023\Indigo_2023_06_12a6ad0d_midsize-85e1db55f4f902db49a866a4b1fe0404.png,7838f1629fc5,600,294,600,294,0.7467,512,448,True,False,255,logo
图包/国际奖项/Indigo\2023\Indigo_2023_07_c5e4929e_9aPKvPJGQELH2AwKbHU6ZwpA.jpg,标准化输出/logo/Indigo\2023\Indigo_2023_07_c5e4929e_9aPKvPJGQELH2AwKbHU6ZwpA.png,228f4c0aaf5c,2100,1401,2100,1401,0.2133,512,448,True,False,255,logo
图包/国际奖项/Indigo\2023\Indigo_2023_08_cf2957d5_JRb5ksM414Cz9nbTP13h36u8.jpg,标准化输出/logo/Indigo\2023\Indigo_2023_08_cf2957d5_JRb5ksM414Cz9nbTP13h36u8.png,7c9eafceb2a6,4584,3125,4584,3125,0.0977,512,448,True,False,255,logo
图包/国际奖项/Indigo\2023\Indigo_2023_09_c92558db_midsize-c2fd09cdfba91e8b64eb207c625e2094.jpg,标准化输出/logo/Indigo\2023\Indigo_2023_09_c92558db_midsize-c2fd09cdfba91e8b64eb207c625e2094.png,5031ae34b7ec,600,338,600,338,0.7467,512,448,True,False,255,logo
图包/国际奖项/Indigo\2023\Indigo_2023_10_d606bd75_midsize-b6ca80d38752d802b7c2c2a8b39ee67f.jpg,标准化输出/logo/Indigo\2023\Indigo_2023_10_d606bd75_midsize-b6ca80d38752d802b7c2c2a8b39ee67f.png,e9276dd31812,600,372,600,372,0.7467,512,448,True,False,255,logo
图包/国际奖项/Indigo\2023\Indigo_2023_11_041bf802_qmewtD8HAtH1bJQeNxvRHkrx.jpg,标准化输出/logo/Indigo\2023\Indigo_2023_11_041bf802_qmewtD8HAtH1bJQeNxvRHkrx.png,3400288c07be,7292,5000,7292,5000,0.0614,512,448,True,False,255,logo
图包/国际奖项/Indigo\2023\Indigo_2023_12_33ba65f1_uYhaBN8Gcuh5f3x2eJmTEifJ.jpg,标准化输出/logo/Indigo\2023\Indigo_2023_12_33ba65f1_uYhaBN8Gcuh5f3x2eJmTEifJ.png,d4c79e147b01,4584,3055,4584,3055,0.0977,512,448,True,False,255,logo
图包/国际奖项/Indigo\2023\Indigo_2023_13_eccad1fc_midsize-469492e902ce0839ac620a98cca831b7.png,标准化输出/logo/Indigo\2023\Indigo_2023_13_eccad1fc_midsize-469492e902ce0839ac620a98cca831b7.png,b27376989f58,600,344,600,344,0.7467,512,448,True,False,255,logo
图包/国际奖项/Indigo\2023\Indigo_2023_14_f631e299_original-e5532d2bbcbf50f830f2612979245a9f.gif,标准化输出/logo/Indigo\2023\Indigo_2023_14_f631e299_original-e5532d2bbcbf50f830f2612979245a9f.png,36a625698945,650,520,650,520,0.6892,512,448,True,False,255,logo
图包/国际奖项/Indigo\2023\Indigo_2023_15_a6bcd4d9_KtBAEpvP4PPp341Mu4z5Dms1.png,标准化输出/logo/Indigo\2023\Indigo_2023_15_a6bcd4d9_KtBAEpvP4PPp341Mu4z5Dms1.png,fa9eceb7c476,1600,1200,1412,1110,0.3173,512,448,True,False,255,logo
图包/国际奖项/Indigo\2023\Indigo_2023_16_841af248_4grtCYAcambki3ct1kNfDN4h.png,标准化输出/logo/Indigo\2023\Indigo_2023_16_841af248_4grtCYAcambki3ct1kNfDN4h.png,448b16484064,1920,1080,1920,1080,0.2333,512,448,True,False,255,logo
图包/国际奖项/Indigo\2023\Indigo_2023_17_be15dda2_midsize-d608c214f5ad61eb85176016b576a793.jpeg,标准化输出/logo/Indigo\2023\Indigo_2023_17_be15dda2_midsize-d608c214f5ad61eb85176016b576a793.png,56761e2dddcd,600,600,322,342,1.3099,512,448,True,False,255,logo
图包/国际奖项/Indigo\2023\Indigo_2023_18_8798a394_original-e1e7bff2177c4d3ee3cf4e6d41fa766d.gif,标准化输出/logo/Indigo\2023\Indigo_2023_18_8798a394_original-e1e7bff2177c4d3ee3cf4e6d41fa766d.png,d7b6bb3147d6,650,520,650,495,0.6892,512,448,True,False,255,logo
图包/国际奖项/Indigo\2024\Indigo_2024_01_2a57f56b_eqmR8o4Lrj1JpAQ9dibBBPxV.png,标准化输出/logo/Indigo\2024\Indigo_2024_01_2a57f56b_eqmR8o4Lrj1JpAQ9dibBBPxV.png,c45478f5b0c2,1080,600,264,30,1.697,512,448,True,False,255,logo
图包/国际奖项/Indigo\2024\Indigo_2024_02_6cbc3095_FCGjtY5EMrzMUwo2AxzjEP98.png,标准化输出/logo/Indigo\2024\Indigo_2024_02_6cbc3095_FCGjtY5EMrzMUwo2AxzjEP98.png,6b55e0f90240,1080,600,968,474,0.4628,512,448,True,False,255,logo
图包/国际奖项/Indigo\2024\Indigo_2024_03_98917b70_U4K3eprZhKQfiuic26ce2GJx.png,标准化输出/logo/Indigo\2024\Indigo_2024_03_98917b70_U4K3eprZhKQfiuic26ce2GJx.png,1f0c6f0bba89,1080,600,1080,600,0.4148,512,448,True,False,255,logo
图包/国际奖项/Indigo\2024\Indigo_2024_04_26283707_Qc1nT5NdoAj7nsCetC9F7Fuf.png,标准化输出/logo/Indigo\2024\Indigo_2024_04_26283707_Qc1nT5NdoAj7nsCetC9F7Fuf.png,e2bd356d3b41,1080,600,1080,600,0.4148,512,448,True,False,255,logo
图包/国际奖项/Indigo\2024\Indigo_2024_05_215dd232_3cbazef9bp30rhutbp9c34hxw8i0.png,标准化输出/logo/Indigo\2024\Indigo_2024_05_215dd232_3cbazef9bp30rhutbp9c34hxw8i0.png,facb76011f9a,1080,600,1080,600,0.4148,512,448,True,False,255,logo
图包/国际奖项/Indigo\2024\Indigo_2024_06_c8c59719_YJsjxdsiryArk51uM5TVxULV.png,标准化输出/logo/Indigo\2024\Indigo_2024_06_c8c59719_YJsjxdsiryArk51uM5TVxULV.png,8db89a5629fd,1080,600,1080,600,0.4148,512,448,True,False,255,logo
图包/国际奖项/Indigo\2024\Indigo_2024_07_c8724232_ubYNYvLw84vNnBtqC37VLL3f.jpg,标准化输出/logo/Indigo\2024\Indigo_2024_07_c8724232_ubYNYvLw84vNnBtqC37VLL3f.png,81492af8939c,1080,600,1080,600,0.4148,512,448,True,False,255,logo
图包/国际奖项/Indigo\2024\Indigo_2024_08_e1c1c9f3_xggUNcecDfbAEUK6Le6iBPvc.png,标准化输出/logo/Indigo\2024\Indigo_2024_08_e1c1c9f3_xggUNcecDfbAEUK6Le6iBPvc.png,00ef4ad55029,1080,600,1080,600,0.4148,512,448,True,False,255,logo
图包/国际奖项/Indigo\2024\Indigo_2024_09_8228bcd9_BQPJgcMyuw1zfaQDrZWHRXTU.png,标准化输出/logo/Indigo\2024\Indigo_2024_09_8228bcd9_BQPJgcMyuw1zfaQDrZWHRXTU.png,62bcab385f58,1080,600,561,287,0.7986,512,448,True,False,255,logo
图包/国际奖项/Indigo\2024\Indigo_2024_10_d4b76ffc_tWFBnpH1r2e6re7sENZ77rBU.png,标准化输出/logo/Indigo\2024\Indigo_2024_10_d4b76ffc_tWFBnpH1r2e6re7sENZ77rBU.png,fbf38d424e60,1080,600,344,192,1.3023,512,448,True,False,255,logo
图包/国际奖项/Indigo\2024\Indigo_2024_11_90395792_eem4H5DNkAWZM3apiVpyAJ5V.png,标准化输出/logo/Indigo\2024\Indigo_2024_11_90395792_eem4H5DNkAWZM3apiVpyAJ5V.png,5b33c3bb0ca6,1080,600,1080,600,0.4148,512,448,True,False,255,logo
图包/国际奖项/Indigo\2024\Indigo_2024_12_14e209fd_xaby6iufhfg42gdl6upa5olmbgre.png,标准化输出/logo/Indigo\2024\Indigo_2024_12_14e209fd_xaby6iufhfg42gdl6upa5olmbgre.png,0ed2066c9a30,1080,600,1004,552,0.4462,512,448,True,False,255,logo
图包/国际奖项/Indigo\2024\Indigo_2024_13_3caee4e5_pavsyqr5t4i9ag4srtjqlg7uur3q.png,标准化输出/logo/Indigo\2024\Indigo_2024_13_3caee4e5_pavsyqr5t4i9ag4srtjqlg7uur3q.png,cea63d79a08f,1080,600,1080,600,0.4148,512,448,True,False,255,logo
图包/国际奖项/Indigo\2024\Indigo_2024_14_ebb67b94_2ufmhhm2ohlqgstyrd2rq0e15ycs.png,标准化输出/logo/Indigo\2024\Indigo_2024_14_ebb67b94_2ufmhhm2ohlqgstyrd2rq0e15ycs.png,e664d62e9ee1,1080,600,1080,600,0.4148,512,448,True,False,255,logo
图包/国际奖项/Indigo\2024\Indigo_2024_15_d8f1ef48_zp6exjoegom1clhywyf2zdp9utur.png,标准化输出/logo/Indigo\2024\Indigo_2024_15_d8f1ef48_zp6exjoegom1clhywyf2zdp9utur.png,e671d59f6c4b,1080,600,1080,513,0.4148,512,448,True,False,255,logo
